CompanyName,CompanyNumber,incorporation_date,CompanyStatus,SICCode_SicText_1,SICCode_SicText_2,SICCode_SicText_3,SICCode_SicText_4,Company_URL_official_company_website,Game_what_they_say_they_do_description_taken_from_their_website,Number_of_employees_2024,Number_of_employees_2023,Number_of_employees_2022,Location_of_main_manufacturing_site_ideally_google_maps_location
MATRIX VALVES LIMITED,13292213,2021-03-25,Active,26514 - Manufacture of non-electronic industrial process control equipment,,,,,,,,,
MATT:E LTD,06330437,2007-08-01,Active,27120 - Manufacture of electricity distribution and control apparatus,71121 - Engineering design activities for industrial process and production,,,,,,,,
MAVERY LTD,14221131,2022-07-07,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",71122 - Engineering related scientific and technical consulting activities,71200 - Technical testing and analysis,,,,,,,
MAW CONTROL SERVICES LIMITED,05721491,2006-02-24,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
MAX WRIGHT LIMITED,00915896,1967-09-20,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
MAXON INTERNATIONAL LTD,10532119,2016-12-19,Active,"27110 - Manufacture of electric motors, generators and transformers",28131 - Manufacture of pumps,"36000 - Water collection, treatment and supply",42990 - Construction of other civil engineering projects n.e.c.,,,,,,
MAXON MOTOR UK LTD,03745727,1999-03-30,Active,"27110 - Manufacture of electric motors, generators and transformers",,,,,,,,,
MAXSAFE GLOBAL LIMITED,11620130,2018-10-12,Active,28120 - Manufacture of fluid power equipment,47910 - Retail sale via mail order houses or via Internet,,,,,,,,
MAXWELLCONTROLS LIMITED,13022900,2020-11-16,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",26512 - Manufacture of electronic industrial process control equipment,,,,,,,,
MAYSUNELECTRIC LTD,14066814,2022-04-25,Active,26110 - Manufacture of electronic components,"27110 - Manufacture of electric motors, generators and transformers",27200 - Manufacture of batteries and accumulators,45320 - Retail trade of motor vehicle parts and accessories,,,,,,
MAYZIN LTD,13181286,2021-02-05,Active,22190 - Manufacture of other rubber products,,,,,,,,,
MB RUBBER ABERDEEN LIMITED,SC607265,2018-09-05,Active,22190 - Manufacture of other rubber products,,,,,,,,,
MCDEVITT CONTROLS LTD,11070970,2017-11-20,Active,26512 - Manufacture of electronic industrial process control equipment,43210 - Electrical installation,,,,,,,,
MCGOLDRICK HOLDINGS LTD,NI620336,2013-09-10,Active,"27110 - Manufacture of electric motors, generators and transformers",,,,,,,,,
MCI PRECISION SCREENS LIMITED,06872755,2009-04-07,Active,26514 - Manufacture of non-electronic industrial process control equipment,,,,,,,,,
MCLENNAN SERVO SUPPLIES LIMITED,01260586,1976-05-27,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
MCMENON METER LIMITED,13995317,2022-03-22,Active,26512 - Manufacture of electronic industrial process control equipment,26514 - Manufacture of non-electronic industrial process control equipment,28120 - Manufacture of fluid power equipment,"28150 - Manufacture of bearings, gears, gearing and driving elements",,,,,,
MCQUEEN CAIRNS LTD,15414888,2024-01-16,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
MCS CONTROL SYSTEMS LIMITED,01279131,1976-09-28,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
MD CONTROLS LIMITED,04339333,2001-12-13,Active,26512 - Manufacture of electronic industrial process control equipment,27900 - Manufacture of other electrical equipment,,,,,,,,
MDA ELECTRICAL SERVICES LTD,10921116,2017-08-17,Active,27120 - Manufacture of electricity distribution and control apparatus,27330 - Manufacture of wiring devices,27900 - Manufacture of other electrical equipment,,,,,,,
MDM PUMPS LIMITED,16406381,2025-04-24,Active,28131 - Manufacture of pumps,,,,,,,,,
MDS PETROCHEMICAL SUPPLIES LIMITED,06229206,2007-04-27,Active,28140 - Manufacture of taps and valves,,,,,,,,,
MEACO MEASUREMENT & CONTROL LIMITED,06571701,2008-04-21,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
MEAD COMMUNICATIONS LIMITED,01816527,1984-05-16,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",61200 - Wireless telecommunications activities,,,,,,,,
MEADEX RUBBER MOULDINGS LIMITED,03854470,1999-10-07,Active,22190 - Manufacture of other rubber products,,,,,,,,,
MEASUREMENT SYSTEMS LIMITED,01572811,1981-07-07,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
MEC COM LIMITED,03954360,2000-03-22,Active,25990 - Manufacture of other fabricated metal products n.e.c.,26514 - Manufacture of non-electronic industrial process control equipment,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,
MECCANICA LIMITED,05617937,2005-11-09,Active,28140 - Manufacture of taps and valves,,,,,,,,,
MECHANIWIRE LIMITED,07812478,2011-10-17,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
MECHATRONICS INTERNATIONAL LIMITED,02758048,1992-10-22,Active,28120 - Manufacture of fluid power equipment,,,,,,,,,
MECHELEC MAINTENANCE LTD,10061264,2016-03-14,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
MECMESIN LIMITED,01302639,1977-03-14,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
MED DESIGN AND DEVELOPMENT LIMITED,11359948,2018-05-14,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
MED GLOBAL CONSULTANCY LTD,10965685,2017-09-15,Liquidation,27120 - Manufacture of electricity distribution and control apparatus,46900 - Non-specialised wholesale trade,,,,,,,,
MEDEXPORT LONDON LTD,13548176,2021-08-04,Active,"27110 - Manufacture of electric motors, generators and transformers",45200 - Maintenance and repair of motor vehicles,,,,,,,,
MEDICAL PHOTONICS LIMITED,15551123,2024-03-09,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
MEDINVO LTD,15553897,2024-03-11,Active - Proposal to Strike off,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",32500 - Manufacture of medical and dental instruments and supplies,72110 - Research and experimental development on biotechnology,,,,,,,
MEDITHERM EUROPE LIMITED,08154309,2012-07-24,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control","47410 - Retail sale of computers, peripheral units and software in specialised stores",,,,,,,,
MEDITRACK LIMITED,03551904,1998-04-23,Active - Proposal to Strike off,"26309 - Manufacture of communication equipment other than telegraph, and telephone apparatus and equipment",26512 - Manufacture of electronic industrial process control equipment,,,,,,,,
MEEHANETKSYDGS LIMITED,15712456,2024-05-10,Active,22190 - Manufacture of other rubber products,,,,,,,,,
MEGACON CONTROLS LIMITED,01408824,1979-01-12,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
MEGATOR LIMITED,00404130,1946-02-05,Active,28131 - Manufacture of pumps,,,,,,,,,
MEGGER GRID ANALYTICS LIMITED,13809160,2021-12-20,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
MEGGITT AEROSPACE LIMITED,03477890,1997-12-09,Active,25990 - Manufacture of other fabricated metal products n.e.c.,26512 - Manufacture of electronic industrial process control equipment,30300 - Manufacture of air and spacecraft and related machinery,33160 - Repair and maintenance of aircraft and spacecraft,,,,,,
MEINERS D.E.L. LIMITED,02155250,1987-08-17,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
MEIQIONGSHAO LIMITED,NI707813,2024-01-09,Active,22190 - Manufacture of other rubber products,,,,,,,,,
MEIR AUSTRALIA (UK) LIMITED,10677200,2017-03-17,Active,28140 - Manufacture of taps and valves,"46740 - Wholesale of hardware, plumbing and heating equipment and supplies",,,,,,,,
MEKTEK UK LTD,04407813,2002-04-02,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
MEKUFA (UK) LIMITED,04469208,2002-06-25,Liquidation,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
MELLOR ELECTRICS HOLDINGS LTD,11196393,2018-02-08,Active,"27110 - Manufacture of electric motors, generators and transformers",,,,,,,,,
MELLOR ELECTRICS LIMITED,00822026,1964-10-06,Active,"27110 - Manufacture of electric motors, generators and transformers",,,,,,,,,
MEMBRACON WATER (UK) LIMITED,14553170,2022-12-21,Active,26512 - Manufacture of electronic industrial process control equipment,"36000 - Water collection, treatment and supply",64209 - Activities of other holding companies n.e.c.,74203 - Film processing,,,,,,
MEMBRANE SENSOR SYSTEMS LIMITED,SC752585,2022-12-07,Active,26512 - Manufacture of electronic industrial process control equipment,62090 - Other information technology service activities,,,,,,,,
MENDIP ICA LIMITED,10533069,2016-12-20,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
MENGTING LIMITED,NI720944,2024-09-09,Active,22190 - Manufacture of other rubber products,,,,,,,,,
MENTHA LTD,15361998,2023-12-19,Active,26512 - Manufacture of electronic industrial process control equipment,62012 - Business and domestic software development,,,,,,,,
MERAJ POLYXT LTD,15445093,2024-01-26,Active,28131 - Manufacture of pumps,29202 - Manufacture of trailers and semi-trailers,45310 - Wholesale trade of motor vehicle parts and accessories,,,,,,,
MERCHANT TECH DISTRIBUTION LTD,13206887,2021-02-17,Active - Proposal to Strike off,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
MERCIER AND THOM LIMITED,15650942,2024-04-16,Active - Proposal to Strike off,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",71122 - Engineering related scientific and technical consulting activities,72190 - Other research and experimental development on natural sciences and engineering,"74909 - Other professional, scientific and technical activities n.e.c.",,,,,,
MERCK VALVE&CONTROLS LIMITED,14201229,2022-06-28,Active,28140 - Manufacture of taps and valves,"28150 - Manufacture of bearings, gears, gearing and driving elements",28290 - Manufacture of other general-purpose machinery n.e.c.,46690 - Wholesale of other machinery and equipment,,,,,,
MERCURY INSTRUMENTS LIMITED,02710815,1992-04-29,Active,"01110 - Growing of cereals (except rice), leguminous crops and oil seeds","26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,
MERITRONICS LIMITED,01108599,1973-04-16,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",26512 - Manufacture of electronic industrial process control equipment,,,,,,,,
MERTECH SWITCHBOARDS LIMITED,01427664,1979-06-11,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
MESMERIX LTD,11393636,2018-06-01,Active,26512 - Manufacture of electronic industrial process control equipment,62012 - Business and domestic software development,62020 - Information technology consultancy activities,71122 - Engineering related scientific and technical consulting activities,,,,,,
MESON ENGINEERING SERVICES LIMITED,11164126,2018-01-23,Active,27120 - Manufacture of electricity distribution and control apparatus,71121 - Engineering design activities for industrial process and production,71122 - Engineering related scientific and technical consulting activities,,,,,,,
METALSCAN LIMITED,07413073,2010-10-20,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
METCALF LTD,09133777,2014-07-16,Active,22190 - Manufacture of other rubber products,,,,,,,,,
METERTECH LTD,SC666060,2020-07-02,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
METHAX UK LIMITED,10535933,2016-12-21,Active,09100 - Support activities for petroleum and natural gas extraction,28132 - Manufacture of compressors,,,,,,,,
METIR PLC,03568010,1998-05-21,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",72190 - Other research and experimental development on natural sciences and engineering,,,,,,,,
METIS AUTOMATION LIMITED,07246688,2010-05-07,Active,26512 - Manufacture of electronic industrial process control equipment,62012 - Business and domestic software development,71121 - Engineering design activities for industrial process and production,71122 - Engineering related scientific and technical consulting activities,,,,,,
METMOTEC LIMITED,05837518,2006-06-05,Active,"26309 - Manufacture of communication equipment other than telegraph, and telephone apparatus and equipment","26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",58120 - Publishing of directories and mailing lists,,,,,,,
METNOR (GREAT YARMOUTH) LIMITED,02444360,1989-11-20,Active,28131 - Manufacture of pumps,"77390 - Renting and leasing of other machinery, equipment and tangible goods n.e.c.",,,,,,,,
METPOW LTD,15617061,2024-04-04,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
METRASENS LIMITED,05495096,2005-06-29,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
METRIX ELECTRONICS LIMITED,03846687,1999-09-22,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
METRON DESIGNS LIMITED,02522024,1990-07-13,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",71121 - Engineering design activities for industrial process and production,,,,,,,,
METROPUMPS LIMITED,15347137,2023-12-12,Active,28131 - Manufacture of pumps,71121 - Engineering design activities for industrial process and production,,,,,,,,
METROSOL LIMITED,02619230,1991-06-11,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",72190 - Other research and experimental development on natural sciences and engineering,,,,,,,,
METRYX LTD.,03937295,2000-03-01,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
METTLER-TOLEDO LIMITED,00959974,1969-08-11,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",26512 - Manufacture of electronic industrial process control equipment,,,,,,,,
MEVIORA MEASURMENT TECHNOLOGIES LTD,16199857,2025-01-22,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
MGI COUTIER FINANCE LIMITED,08265215,2012-10-23,Active,22190 - Manufacture of other rubber products,22290 - Manufacture of other plastic products,,,,,,,,
MGL MEDICAL UK LIMITED,12858334,2020-09-04,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
MH INDUSTRIAL AUTOMATION LTD,16171546,2025-01-08,Active,26512 - Manufacture of electronic industrial process control equipment,43210 - Electrical installation,71121 - Engineering design activities for industrial process and production,,,,,,,
MHG HEATING LTD,06402684,2007-10-18,Active,28131 - Manufacture of pumps,,,,,,,,,
MHS SOLUTIONS LTD,11469020,2018-07-17,Active,22190 - Manufacture of other rubber products,,,,,,,,,
MHW ENGINEERING LIMITED,14393222,2022-10-03,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",26512 - Manufacture of electronic industrial process control equipment,71122 - Engineering related scientific and technical consulting activities,"74909 - Other professional, scientific and technical activities n.e.c.",,,,,,
MI SOLUTIONS AUTOMATION LIMITED,08092607,2012-06-01,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
MIA JANE LIMITED,NI714093,2024-04-15,Active,22190 - Manufacture of other rubber products,,,,,,,,,
MICALINE ELECTRICAL SYSTEMS LIMITED,02456804,1990-01-02,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",26512 - Manufacture of electronic industrial process control equipment,,,,,,,,
MICALINE HWW LTD,10443649,2016-10-24,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
MICHAEL AARON LIMITED,NI715005,2024-04-28,Active,22190 - Manufacture of other rubber products,,,,,,,,,
MICHAEL SMITH SWITCHGEAR LIMITED,01933790,1985-07-26,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
MICHELL INSTRUMENTS LIMITED,01183847,1974-09-12,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
MICOM ELECTRONIC LTD,09537878,2015-04-13,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
MICRO MOVEMENTS LIMITED,12310714,2019-11-12,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
MICRO POWER ELECTRONICS LIMITED,02570956,1991-01-02,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
MICRO-ANALYSIS CONSULTANTS (REFURBISHMENTS) LIMITED,08576422,2013-06-19,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
MICRO-EPSILON UK LIMITED,05175120,2004-07-09,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
MICRO-MESH ENGINEERING LIMITED,00935057,1968-07-08,Active,28120 - Manufacture of fluid power equipment,,,,,,,,,
MICROCLIMATE INSTRUMENTS LTD,13921013,2022-02-16,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",72190 - Other research and experimental development on natural sciences and engineering,,,,,,,,
MICROCOMM UK LIMITED,10373112,2016-09-13,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",26701 - Manufacture of optical precision instruments,,,,,,,,
MICRODOSER LTD,11972871,2019-05-01,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control","47410 - Retail sale of computers, peripheral units and software in specialised stores",47910 - Retail sale via mail order houses or via Internet,62012 - Business and domestic software development,,,,,,
MICROFORCE MEASUREMENT LTD,10714322,2017-04-07,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control","26513 - Manufacture of non-electronic measuring, testing etc. equipment, not for industrial process control","74909 - Other professional, scientific and technical activities n.e.c.",,,,,,,
MICROLEC LIMITED,01967766,1985-12-03,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
MICROLL ENGINEERING LTD,15530426,2024-02-28,Active,27120 - Manufacture of electricity distribution and control apparatus,27900 - Manufacture of other electrical equipment,74100 - specialised design activities,,,,,,,
MICROMASS UK LIMITED,03162904,1996-02-22,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
MICRONTECH LTD,15714854,2024-05-11,Active,26514 - Manufacture of non-electronic industrial process control equipment,71122 - Engineering related scientific and technical consulting activities,,,,,,,,
MICROSAIC SYSTEMS LIMITED,15734595,2024-05-22,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",72190 - Other research and experimental development on natural sciences and engineering,,,,,,,,
MICROSAIC SYSTEMS TRADING LTD,15727191,2024-05-18,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",72190 - Other research and experimental development on natural sciences and engineering,,,,,,,,
MICROTEC ADVANCED MANUFACTURING LIMITED,03657036,1998-10-27,Liquidation,26702 - Manufacture of photographic and cinematographic equipment,28131 - Manufacture of pumps,"28150 - Manufacture of bearings, gears, gearing and driving elements",28290 - Manufacture of other general-purpose machinery n.e.c.,,,,,,
MICROTROL LIMITED,01622194,1982-03-16,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
MICROTURBINE CONSULTING LTD,11749982,2019-01-04,Active - Proposal to Strike off,"27110 - Manufacture of electric motors, generators and transformers","74909 - Other professional, scientific and technical activities n.e.c.",,,,,,,,
MICTEL HILLPRESS LIMITED,08357253,2013-01-11,Active,27120 - Manufacture of electricity distribution and control apparatus,43210 - Electrical installation,71121 - Engineering design activities for industrial process and production,"74909 - Other professional, scientific and technical activities n.e.c.",,,,,,
MID KENT ELECTRICAL ENGINEERING COMPANY LIMITED,01006814,1971-04-02,Active,"27110 - Manufacture of electric motors, generators and transformers",,,,,,,,,
MID-SURREY WINDINGS LIMITED,04330939,2001-11-29,Active,"27110 - Manufacture of electric motors, generators and transformers",,,,,,,,,
MIDAS ELECTRONIC CONSULTANTS LIMITED,02399436,1989-06-29,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
MIDASMOTION LIMITED,04707915,2003-03-23,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
MIDDLE ELEPHANT LIMITED,NI715767,2024-05-14,Active,22190 - Manufacture of other rubber products,,,,,,,,,
MIDDLESEX HOSE & FITTINGS LIMITED,07235176,2010-04-26,Active,28120 - Manufacture of fluid power equipment,,,,,,,,,
MIDDLETON MANUFACTURING LIMITED,10644991,2017-03-01,Active,13939 - Manufacture of other carpets and rugs,22190 - Manufacture of other rubber products,,,,,,,,
MIDENT LIMITED,07001287,2009-08-26,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
MIDLAND PUMP MANUFACTURING COMPANY LIMITED,01103911,1973-03-26,Active,28131 - Manufacture of pumps,,,,,,,,,
MIDLANDS ELECTRICAL TEST RIGS LTD,16319037,2025-03-16,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
MIDLANDS ELECTRONIC SOLUTIONS LIMITED,13055614,2020-12-02,Active,26110 - Manufacture of electronic components,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,
MIDLANDS RECYCLED HYDROGEN LTD,14735915,2023-03-16,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
MIDMAR POWER SYSTEMS LIMITED,06015991,2006-12-01,Active,26512 - Manufacture of electronic industrial process control equipment,33200 - Installation of industrial machinery and equipment,70229 - Management consultancy activities other than financial management,,,,,,,
MIDWOOD GENERATOR SERVICES LTD,13524800,2021-07-22,Active,"27110 - Manufacture of electric motors, generators and transformers",43210 - Electrical installation,,,,,,,,
MIGHTY NATURE LIMITED,15049581,2023-08-04,Active,22190 - Manufacture of other rubber products,,,,,,,,,
MIGRATE TECHNOLOGY LIMITED,04508381,2002-08-09,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",72190 - Other research and experimental development on natural sciences and engineering,74100 - specialised design activities,,,,,,,
MIKROSPIN LIMITED,01980816,1986-01-21,Active,28131 - Manufacture of pumps,46180 - Agents specialized in the sale of other particular products,,,,,,,,
MIL POWER LIMITED,03526890,1998-03-13,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",27200 - Manufacture of batteries and accumulators,"74909 - Other professional, scientific and technical activities n.e.c.",,,,,,,
MILKRITE INTERPULS LIMITED,12526716,2020-03-19,Active,22190 - Manufacture of other rubber products,,,,,,,,,
MILLBROOK ELECTRONICS LTD,15567189,2024-03-16,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
MILLCROFT TECHNOLOGY LIMITED,03428674,1997-09-03,Active,26514 - Manufacture of non-electronic industrial process control equipment,62090 - Other information technology service activities,72190 - Other research and experimental development on natural sciences and engineering,,,,,,,
MILLIAMP LABORATORIES LIMITED,12915007,2020-09-30,Active,26400 - Manufacture of consumer electronics,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",71200 - Technical testing and analysis,"74909 - Other professional, scientific and technical activities n.e.c.",,,,,,
MILMEGA LIMITED,02185653,1987-10-30,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
MILSAN THE BEST PCB PRIVATE LIMITED,16064088,2024-11-06,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",27120 - Manufacture of electricity distribution and control apparatus,70229 - Management consultancy activities other than financial management,,,,,,,
MILTRONIX LIMITED,10495473,2016-11-24,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",27900 - Manufacture of other electrical equipment,30300 - Manufacture of air and spacecraft and related machinery,46460 - Wholesale of pharmaceutical goods,,,,,,
MINDFIELD BIOSYSTEMS LTD.,05004610,2003-12-30,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",58290 - Other software publishing,62090 - Other information technology service activities,72190 - Other research and experimental development on natural sciences and engineering,,,,,,
MINESTO UK LIMITED,03266902,1996-10-22,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
MINGZHUN SCIENCE AND TECHNOLOGY LIMITED,15256813,2023-11-02,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",26701 - Manufacture of optical precision instruments,46190 - Agents involved in the sale of a variety of goods,46900 - Non-specialised wholesale trade,,,,,,
MINSTERPORT LIMITED,02018744,1986-05-12,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control","46140 - Agents involved in the sale of machinery, industrial equipment, ships and aircraft",,,,,,,,
MIRATON ROSE RENEWABLE ENERGY UK LTD,13775753,2021-12-01,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",43210 - Electrical installation,"43220 - Plumbing, heat and air-conditioning installation",74901 - Environmental consulting activities,,,,,,
MIRICO LTD.,09376628,2015-01-07,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",26701 - Manufacture of optical precision instruments,71122 - Engineering related scientific and technical consulting activities,,,,,,,
MIRION TECHNOLOGIES (IST) LIMITED,00996850,1970-12-11,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
MIROAD RUBBER LIMITED,09176594,2014-08-14,Active,22190 - Manufacture of other rubber products,,,,,,,,,
MIRTECH LTD,15781654,2024-06-16,Active,27120 - Manufacture of electricity distribution and control apparatus,27520 - Manufacture of non-electric domestic appliances,27900 - Manufacture of other electrical equipment,43210 - Electrical installation,,,,,,
MISAL ENGINEERING LIMITED,10762379,2017-05-10,Active,28120 - Manufacture of fluid power equipment,71121 - Engineering design activities for industrial process and production,71122 - Engineering related scientific and technical consulting activities,71129 - Other engineering activities,,,,,,
MISER HYBRID TECHNOLOGIES UK LTD,09495263,2015-03-17,Active,28120 - Manufacture of fluid power equipment,28990 - Manufacture of other special-purpose machinery n.e.c.,29310 - Manufacture of electrical and electronic equipment for motor vehicles and their engines,29320 - Manufacture of other parts and accessories for motor vehicles,,,,,,
MISSION RUBBER (UK) LIMITED,05834185,2006-06-01,Active,22190 - Manufacture of other rubber products,,,,,,,,,
MIST-AIR DUST SUPPRESSION LIMITED,01228824,1975-10-06,Active,28120 - Manufacture of fluid power equipment,28990 - Manufacture of other special-purpose machinery n.e.c.,33200 - Installation of industrial machinery and equipment,39000 - Remediation activities and other waste management services,,,,,,
MITCHELL PUMPS LTD,11735158,2018-12-19,Active - Proposal to Strike off,28131 - Manufacture of pumps,,,,,,,,,
MITCHELLS ELECTRICAL CONTRACTING LTD,04403014,2002-03-25,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
MIX FLOW SYSTEMS LIMITED,06123425,2007-02-22,Active,28131 - Manufacture of pumps,,,,,,,,,
MIXALL LIMITED,12469076,2020-02-18,Active,28131 - Manufacture of pumps,,,,,,,,,
MJS PURGE SYSTEMS LIMITED,16062126,2024-11-05,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
MKAA SERVICES LTD,11157121,2018-01-18,Active,22190 - Manufacture of other rubber products,,,,,,,,,
MKC-CAIR (UK) LTD,03385879,1997-06-12,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
MKS SPECTRA HOLDINGS LIMITED,02121264,1987-04-09,Active,"26511 - Manufacture of electronic measuring, testing etc. equipment, not for industrial process control",,,,,,,,,
MLM INDUSTRIES LTD,14114664,2022-05-18,Active,22190 - Manufacture of other rubber products,47910 - Retail sale via mail order houses or via Internet,90030 - Artistic creation,,,,,,,
MMLATEX LTD,13948310,2022-03-02,Active,14142 - Manufacture of women's underwear,22190 - Manufacture of other rubber products,47710 - Retail sale of clothing in specialised stores,,,,,,,
MNE HYDRAULICS LTD,09628479,2015-06-08,Active,28120 - Manufacture of fluid power equipment,28290 - Manufacture of other general-purpose machinery n.e.c.,28490 - Manufacture of other machine tools,33190 - Repair of other equipment,,,,,,
MODATEC LIMITED,02219513,1988-02-10,Active,27120 - Manufacture of electricity distribution and control apparatus,,,,,,,,,
MODE AUTOMATIC LTD,16508074,2025-06-10,Active,26512 - Manufacture of electronic industrial process control equipment,,,,,,,,,
